CUDA available: True
Device name: NVIDIA GeForce RTX 4090
Current device: 0

===== Fold 1/ 5 =====
[Fold 0] Epoch 59/100 | Train Loss: 0.0550 | Val Acc: 0.9409 | Val F1: 0.9419
[Fold 0] Epoch 60/100 | Train Loss: 0.0572 | Val Acc: 0.9401 | Val F1: 0.9396
[Fold 0] Epoch 61/100 | Train Loss: 0.0494 | Val Acc: 0.9439 | Val F1: 0.9434
[Fold 0] Epoch 62/100 | Train Loss: 0.0515 | Val Acc: 0.9452 | Val F1: 0.9452
[Fold 0] Epoch 63/100 | Train Loss: 0.0494 | Val Acc: 0.9429 | Val F1: 0.9435
[Fold 0] Epoch 64/100 | Train Loss: 0.0472 | Val Acc: 0.9427 | Val F1: 0.9420
[Fold 0] Epoch 65/100 | Train Loss: 0.0459 | Val Acc: 0.9465 | Val F1: 0.9465
[Fold 0] Epoch 66/100 | Train Loss: 0.0506 | Val Acc: 0.9414 | Val F1: 0.9417
[Fold 0] Epoch 67/100 | Train Loss: 0.0469 | Val Acc: 0.9410 | Val F1: 0.9417
[Fold 0] Epoch 68/100 | Train Loss: 0.0449 | Val Acc: 0.9456 | Val F1: 0.9454
[Fold 0] Epoch 69/100 | Train Loss: 0.0458 | Val Acc: 0.9396 | Val F1: 0.9408
[Fold 0] Epoch 70/100 | Train Loss: 0.0408 | Val Acc: 0.9429 | Val F1: 0.9426
[Fold 0] Epoch 71/100 | Train Loss: 0.0405 | Val Acc: 0.9447 | Val F1: 0.9444
[Fold 0] Epoch 72/100 | Train Loss: 0.0388 | Val Acc: 0.9419 | Val F1: 0.9416
[Fold 0] Epoch 73/100 | Train Loss: 0.0412 | Val Acc: 0.9407 | Val F1: 0.9406
[Fold 0] Epoch 74/100 | Train Loss: 0.0371 | Val Acc: 0.9419 | Val F1: 0.9417
[Fold 0] Epoch 75/100 | Train Loss: 0.0383 | Val Acc: 0.9370 | Val F1: 0.9381
[Fold 0] Epoch 76/100 | Train Loss: 0.0443 | Val Acc: 0.9403 | Val F1: 0.9401
[Fold 0] Epoch 77/100 | Train Loss: 0.0382 | Val Acc: 0.9434 | Val F1: 0.9429
[Fold 0] Epoch 78/100 | Train Loss: 0.0420 | Val Acc: 0.9436 | Val F1: 0.9441
[Fold 0] Epoch 79/100 | Train Loss: 0.0383 | Val Acc: 0.9387 | Val F1: 0.9397
[Fold 0] Epoch 80/100 | Train Loss: 0.0333 | Val Acc: 0.9410 | Val F1: 0.9406
[Fold 0] Epoch 81/100 | Train Loss: 0.0339 | Val Acc: 0.9452 | Val F1: 0.9450
[Fold 0] Epoch 82/100 | Train Loss: 0.0408 | Val Acc: 0.9409 | Val F1: 0.9394
[Fold 0] Epoch 83/100 | Train Loss: 0.0338 | Val Acc: 0.9385 | Val F1: 0.9393
[Fold 0] Epoch 84/100 | Train Loss: 0.0357 | Val Acc: 0.9385 | Val F1: 0.9379
[Fold 0] Epoch 85/100 | Train Loss: 0.0362 | Val Acc: 0.9421 | Val F1: 0.9416
